"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"CABLES1",-2.18215174478378,4.10150671198219e-05,"Down",-4.23548566076047,0.000123277459857609,"Down","Shared Down"
"PSMB4",-1.22638265146811,4.41694962994647e-05,"Down",-3.56394444792058,0.000188324805359493,"Down","Shared Down"
"CCR2",-2.56221600866922,4.71864713786901e-05,"Down",-3.64105206718285,0.000156091988885826,"Down","Shared Down"
"MYPOP",-1.67458155288004,4.76599977330765e-05,"Down",-3.72287633355343,6.14962039936521e-06,"Down","Shared Down"
"FAM53B",-1.81336193482359,4.81734837091733e-05,"Down",-3.81995826840863,3.04957143266789e-06,"Down","Shared Down"
"SKI",-1.21264034571646,4.81734837091733e-05,"Down",-2.49427808194967,0.000755804641543366,"Down","Shared Down"
"BHLHE22",-2.70093794651943,4.83366751042717e-05,"Down",-5.0208543260371,5.72456722393867e-06,"Down","Shared Down"
"STAP2",-1.06880371594782,5.03446099419359e-05,"Down",-3.42577674769935,8.10972217571286e-07,"Down","Shared Down"
"C1orf106",-1.11720945600578,5.03538094368374e-05,"Down",-3.19229009841902,5.19552899465911e-06,"Down","Shared Down"
"LRRC59",-1.09645153490601,5.09699284219117e-05,"Down",-3.22963677187308,2.9663899763116e-10,"Down","Shared Down"
"SPI1",-2.78191440217247,5.50236847728862e-05,"Down",-4.79514401647554,1.46143105485058e-08,"Down","Shared Down"
"ELAVL4",-2.81561722903886,5.72145768852933e-05,"Down",-3.80626158074231,0.00114436154298386,"Down","Shared Down"
"ALKBH1",-2.05217407178181,5.74261228447614e-05,"Down",-4.09806235882286,5.21000460468042e-05,"Down","Shared Down"
"R3HCC1",-1.16813869161366,6.30359458504512e-05,"Down",-2.91184187671608,2.46018114653216e-05,"Down","Shared Down"
"ETV5",-1.94506359824062,6.48051843186284e-05,"Down",-4.0733060894037,1.54872137158013e-05,"Down","Shared Down"
"SH3PXD2B",-1.00317160285761,6.49035657417368e-05,"Down",-2.74564789174423,7.18239106082472e-05,"Down","Shared Down"
"ESAM",-2.84054669746348,6.52745121144822e-05,"Down",-5.43603504849473,2.40893301830209e-06,"Down","Shared Down"
"RXFP3",-2.56112335979872,6.89404860408858e-05,"Down",-5.51879015056644,4.03892405057178e-08,"Down","Shared Down"
"VPS51",-1.27456529006873,6.90224372115196e-05,"Down",-3.1965596353027,0.000460303802650091,"Down","Shared Down"
"CYP2W1",-2.20781840978673,7.42552582621899e-05,"Down",-4.56619584888309,4.37602509704266e-07,"Down","Shared Down"
"NMU",-2.87072446696353,7.58811491129756e-05,"Down",-5.79025464110971,5.09639113634504e-07,"Down","Shared Down"
"CHPF",-1.4423824889867,8.00551330255665e-05,"Down",-3.44330049577063,0.000801921796101415,"Down","Shared Down"
"AR",-2.18557931840201,8.13564103795289e-05,"Down",-3.49222166339607,0.000668721056061206,"Down","Shared Down"
"TSPAN12",-2.09894084484433,8.15595569527305e-05,"Down",-5.126785733962,4.11172458201782e-05,"Down","Shared Down"
"LINC01039",-2.77603421838904,8.17521754222176e-05,"Down",-4.20718564743622,0.000105776888077922,"Down","Shared Down"
"LAMTOR4",-1.24457078647968,8.70227061267763e-05,"Down",-3.36168075426641,2.55201529035569e-06,"Down","Shared Down"
"NDUFB7",-1.16117766994911,8.87239897116271e-05,"Down",-3.80892196138044,2.9663899763116e-10,"Down","Shared Down"
"FBXO2",-1.53868637937091,9.17574993944756e-05,"Down",-3.14148636187016,2.18367604783578e-05,"Down","Shared Down"
"SEMA6C",-2.34547603338982,9.31772539762977e-05,"Down",-4.03248994980104,0.000338141031645556,"Down","Shared Down"
"UBL4A",-2.25824660604448,9.36734968493662e-05,"Down",-4.43133748038097,2.34120746359424e-06,"Down","Shared Down"
"MAFG",-1.50617583330419,9.50019245332422e-05,"Down",-3.06591282644923,4.40399854956719e-05,"Down","Shared Down"
"COLGALT1",-1.24982343357464,9.84179687994353e-05,"Down",-2.68554266919324,1.44441783658163e-05,"Down","Shared Down"
